source_id,section_id,grade,verification,role,accepted_claim,evidence_boundary,original_followup,status
B0154,0.3,A,V2,object_lens_and_scale_control,以瓷器为透镜可从具体物质痕迹扩展到生产贸易与跨文化关系并检验尺度跃迁,器物传播不能自动证明文明兴衰或世界体系因果,区分对象事实、作者解释与宏观推论并补区域史,ACCEPTED_AS_METHOD
B0154,0.4,A,V2,porcelain_as_material_and_contextual_evidence,胎釉钴料器形纹样窑痕和残片可提供材料技术与流通线索,形式与材料不能脱离出土入藏委托与使用语境解读,补检测、考古层位、馆藏史、订单和使用记录,ACCEPTED_WITH_LIMITS
B0154,0.5,A,V2,artifact_archaeology_text_and_trade_triangulation,器物、沉船、考古、技术文本、书信与商业数据可形成瓷器史多链互证,不同年代地点和证据尺度不能仅凭叙事并置合并,逐项记录定位、来源类型、冲突和置信等级,ACCEPTED_AS_METHOD
B0154,0.6,B,V2,jesuit_court_collection_and_worker_visibility_bias,耶稣会、宫廷、商人和收藏材料能见度高而普通工人妇女与使用者声音稀薄,外来观察和精英收藏不能直接代表景德镇社会或全球消费者,补地方档案、工匠记录、工资、家庭、司法与来源社群材料,ACCEPTED_AS_EVIDENCE_AUDIT
B0154,0.7,A,V2,porcelain_connected_world_history,瓷器可连接中国、伊斯兰世界、东亚、欧洲和海洋贸易中的技术与文化转译,连接与模仿不是无权力差异的对称交流,建立原料委托制作贸易使用仿制和替代链,ACCEPTED_WITH_POWER_LIMIT
B0154,1.1,A,V2,jingdezhen_distributed_workshop_knowledge,景德镇瓷器由采料制胎绘饰施釉装窑烧成分级运输等专门工序协作完成,殷弘绪的分工描述是外部观察且不能代表各时期各窑,补地方志、窑址、工匠、工资、合同和工序复原,ACCEPTED_WITH_LIMITS
B0154,1.2,B,V2,kiln_energy_transport_and_mechanised_competition,窑炉燃料、运河海运、蒸汽动力和机械装饰改变陶瓷规模成本与稳定性,本书不是机器性能或能源计量专史且中欧比较可能目的论化,补窑炉数据、燃料、动力、运输、产量和成本记录,ACCEPTED_AS_SUPPORT
B0154,1.3,A,V2,division_of_labor_models_patterns_and_supervision,景德镇分工、外来器形模型、绘饰工序、梅森保密和Etruria管理显示构思制作与监督权不断重组,不能由分工直接推出现代设计职业或单一源头,补图样、模具、订单、工序签记、职位和管理档案,ACCEPTED_WITH_OBJECT_FOLLOWUP
B0154,1.4,A,V2,china_stone_kaolin_cobalt_glaze_and_fuel_system,瓷石高岭土钴釉料燃料窑炉和运输共同限定瓷器白度强度颜色器形与废品率,地质禀赋不自动造成技术领先且部分材料来源和数量待核,补矿物检测、窑址、配方、燃料环境与供应链记录,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED
B0154,1.5,A,V2,anonymous_potters_merchants_and_enterprise_network,采料者陶工画工窑工商人公司宫廷技术人员和企业主共同塑造瓷器而常被个人发明叙事遮蔽,分布式生产不能据此确定特定器物作者和动机,逐对象补模型订单工场账簿签款工资销售与使用链,ACCEPTED_WITH_LIMITS
B0154,1.6,C,V2,industrial_arts_and_design_vocabulary_context,瓷器生产和市场话语可补art manufacture pattern design等概念的外围语境,本书不是工业艺术装饰艺术或设计职业词源史,补同期词典教育制度职位行业组织和设计改革文本,CONTEXT_ONLY
B0154,1.7,A,V2,jingdezhen_east_asia_islamic_and_european_mixed_paths,景德镇、东亚、伊斯兰陶业、德尔夫特、梅森与英国工厂呈现不同的手工宫廷市场和机械混合路径,大区域标签与西方胜利结局会压平内部差异和持续手工生产,补中国地区史、东南亚、本地劳动史与反方全球陶瓷史,ACCEPTED_WITH_COUNTERSOURCE_REQUIRED
B0154,2.4,B,V2,court_household_market_and_customised_consumption,宫廷收藏、餐桌习惯、热饮、定制订单和市场竞争改变器形装饰与产品组合,精英收藏和商人资料不能代表普通消费者或实际使用效果,补家庭清单、价格、破损修补、零售和使用者材料,ACCEPTED_WITH_AUDIENCE_GAP
B0154,2.6,B,V2,empire_collection_trade_and_hierarchical_naming,帝国贸易、宫廷收藏和‘中国风’分类能揭示异域物被命名展示和等级化的过程,作者的文明单位和同时代术语也需历史化不能中性复述,补征集史、展陈、来源社群、殖民档案和术语批判,ACCEPTED_AS_CRITICAL_CONTEXT
B0154,2.7,A,V2,porcelain_translation_imitation_and_reverse_flow,瓷器跨境流动包含外来模型、钴料贸易、器形适配、仿制失败、工匠迁移、替代和反向复制,形式相似不能单独证明直接影响且文化意义并不恒定,逐对象补模型样品订单贸易工匠和地方使用链,ACCEPTED_WITH_LIMITS
